config,bench,threads,trial,txns,time_ns,throughput,aborts,verified
rstm-cgl,ReadNWrite1/m256,4,2,105696052,5000049531,21139000,0,1
zstm-ala,ReadNWrite1/m256,8,2,41764515,5000525768,8352024,1393853,1
rstm-norec,ReadNWrite1/m256,8,2,15454878,5000002395,3090974,2420839,1
rstm-cgl,ReadNWrite1/m256,8,2,93179827,5000048828,18635783,0,1
zstm-ala,ReadNWrite1/m256,16,2,35909294,5000609470,7180983,1467164,1
rstm-norec,ReadNWrite1/m256,16,2,11638754,5000010440,2327745,3493790,1
rstm-cgl,ReadNWrite1/m256,16,2,69189305,4999980268,13837915,0,1
zstm-ala,ReadNWrite1/m4096,1,2,235521491,5000535440,47099254,0,1
rstm-norec,ReadNWrite1/m4096,1,2,150329457,5000001135,30065884,0,1
rstm-cgl,ReadNWrite1/m4096,1,2,121539203,5000005243,24307815,0,1
zstm-ala,ReadNWrite1/m4096,2,2,69946850,5002289177,13982968,94552,1
rstm-norec,ReadNWrite1/m4096,2,2,37018114,5000001257,7403620,47812,1
rstm-cgl,ReadNWrite1/m4096,2,2,105630754,5000020474,21126064,0,1
zstm-ala,ReadNWrite1/m4096,4,2,49820229,5000838769,9962374,240957,1
rstm-norec,ReadNWrite1/m4096,4,2,28469612,5000004539,5693917,107217,1
rstm-cgl,ReadNWrite1/m4096,4,2,87736136,5000025170,17547138,0,1
zstm-ala,ReadNWrite1/m4096,8,2,37451270,5000933196,7488856,311888,1
rstm-norec,ReadNWrite1/m4096,8,2,18681885,5000005239,3736373,188104,1
rstm-cgl,ReadNWrite1/m4096,8,2,75888914,5000039902,15177661,0,1
zstm-ala,ReadNWrite1/m4096,16,2,32754064,5000679970,6549922,480375,1
rstm-norec,ReadNWrite1/m4096,16,2,12540355,5000007461,2508067,299528,1
rstm-cgl,ReadNWrite1/m4096,16,2,54096395,5000062412,10819143,0,1
zstm-ala,ReadWriteN/m256,1,2,134296121,5000186584,26858221,0,1
rstm-norec,ReadWriteN/m256,1,2,113285344,5000001510,22657061,0,1
rstm-cgl,ReadWriteN/m256,1,2,109652614,5000003770,21930506,0,1
zstm-ala,ReadWriteN/m256,2,2,36502813,5000111208,7300400,5251962,1
rstm-norec,ReadWriteN/m256,2,2,28096269,5000002038,5619251,3916812,1
rstm-cgl,ReadWriteN/m256,2,2,107707222,5000024464,21541339,0,1
zstm-ala,ReadWriteN/m256,4,2,42344839,5000269466,8468511,4063861,1
rstm-norec,ReadWriteN/m256,4,2,21327239,5000000624,4265447,9267729,1
rstm-cgl,ReadWriteN/m256,4,2,90786036,5000015755,18157149,0,1
zstm-ala,ReadWriteN/m256,8,2,14140707,5001614852,2827228,13654115,1
rstm-norec,ReadWriteN/m256,8,2,12718525,5000005833,2543702,11880486,1
rstm-cgl,ReadWriteN/m256,8,2,87915537,5000058688,17582901,0,1
zstm-ala,ReadWriteN/m256,16,2,28664071,5000087599,5732713,7049031,1
rstm-norec,ReadWriteN/m256,16,2,9993669,5000006419,1998731,17614383,1
rstm-cgl,ReadWriteN/m256,16,2,55391906,5000064480,11078238,0,1
zstm-ala,Disjoint/16-8-2,1,2,101292450,5002372029,20248883,0,1
rstm-norec,Disjoint/16-8-2,1,2,92083189,5000000760,18416635,0,1
rstm-cgl,Disjoint/16-8-2,1,2,85593840,5000002826,17118758,0,1
zstm-ala,Disjoint/16-8-2,2,2,82338883,5000939055,16464684,0,1
rstm-norec,Disjoint/16-8-2,2,2,70498266,5000000748,14099651,0,1
rstm-cgl,Disjoint/16-8-2,2,2,83830733,5000003586,16766134,0,1
zstm-ala,Disjoint/16-8-2,4,2,66855137,5000222766,13370431,0,1
rstm-norec,Disjoint/16-8-2,4,2,57859801,5000001151,11571957,0,1
rstm-cgl,Disjoint/16-8-2,4,2,73329025,5000002827,14665796,0,1
zstm-ala,Disjoint/16-8-2,8,2,36864688,5002766967,7368859,0,1
rstm-norec,Disjoint/16-8-2,8,2,29197240,5000005813,5839441,0,1
rstm-cgl,Disjoint/16-8-2,8,2,74514179,5000072104,14902620,0,1
zstm-ala,Disjoint/16-8-2,16,2,23679793,5000703585,4735292,0,1
rstm-norec,Disjoint/16-8-2,16,2,20848044,5000009346,4169601,0,1
